land,n.陆地，土地 v.着陆
language,n.语言
large,adj.大的，巨大的
last,adj.最后的 adv.上次
late,adj.迟到的，晚的
later,adv.更晚，以后，过后
law,n.法律，定律
lay,v.放，安排，打基础
lead,v.引导，领先，率领
leader,n.领导，领袖
leadership,n.领导
leading,adj.领先的，一流的
leave,v.出发，离开 n.休假
left,adj.左的 adv.向左
let,v.让，使
level,n.水平，级 v.弄平
life,n.生活，生命，一生
likely,adj.可信的adv.很可能
line,n.行，线条，界线
little,adj.小的，一点，少的
look,v.看，看上去 n.外表
lost,adj.失去的
lot,n.许多，地 adv.相当
low,adj.低的，低廉的
lower,v.降低，减弱
main,adj.主要的
majority,n.多数，过半数
man,n.人，男人，人类
market,n.市场，销路
means,n.手段，财力
meet,v.遇到，会见，迎接
middle,n.当中 adj.中部的
military,adj.军事的，好斗的
minister,n.教士，部长，大臣
mobile,adj.机动的，流动的
moderate,adj.适度的 v.缓和
monetary,adj.货币的，金融的
money,n.金钱，货币，财富
move,v.移动，推动，搬家
music,n.音乐，乐曲
must,v.必须，准是 n.必须
national,adj.民族的，国家的
near,adv.近 adj.近的
nearly,adv.几乎，差不多
need,n.需要，贫困 v.需要
never,adv.从不，永不，未曾
newspaper,n.报纸，新闻纸
next,adv.下一次，然后
north,n.北，北方 adj.北的
northern,adj.北方的，北部的
number,n.数字，若干，号码
offer,v.,n.提供，报盘
office,n.办公室，事务所
official,n.官员 adj.官方的
often,adv.经常，常常
old,adj.老的，...岁的
once,adv.一度，一次
open,adj.开的 v.打开
operation,n.操作，生效，手术
opposition,n.敌对，反抗
order,n.命令，订货，次序
ore,n.矿石，矿物
our,pron.我们的
own,adj.自己的 v.拥有
part,n.部分，零件，角色
particular,adj.特殊的 n.项目
particularly,adv.特别地
party,n.聚会，政党，一方
pay,v.支付 n.工资
peace,n.和平，平静，和约
per,prep.每，由，按照
percentage,n.百分率
perhaps,adv.也许，多半
person,n.人，人称，身体
picture,n.图片，画，照片
place,n.地方，位置 v.放置
plan,n.计划,平面图 v.打算
point,n.尖，点，分 v.指
policy,n.政策，方针，保险单
politics,n.政治学，政治活动
poor,adj.穷的，差的
population,n.人口
possible,adj.可能的
potential,adj.潜在的 n.潜力
power,n.力，动力，权力
prediction,n.预言，预报
presidential,adj.总统的
pressure,n.压力，繁忙，紧迫
price,n.价格，代价 v.定价
prime,adj.首要的，第一的
private,adj.私人的，秘密的
prize,n.奖品，奖赏
probably,adv.或许，大概
problem,n.课题，难题，问题
process,n.程序，过程 v.处理
promise,v.允诺，预示 n.诺言
proportion,n.比例，部分
provide,v.供给，提供，准备
put,v.放置，估价，表达
quarter,n.四分之一，一刻钟
