care,n.注意，小心 v.关心
carry,v.搬运，携带
case,n.事实，案例，箱子
cause,n.原因，理由，事业
central,adj.中心的，中央的
century,n.世纪
challenge,n.,v.挑战，质问
chance,n.机会，可能性
change,n.变化，零钱 v.改变
chart,n.图表 v.制定计划
chief,adj.首席的，首要的
city,n.城市
classical,adj.经典的，古典的
close,v.关闭，结束 n.终结
come,v.来到，出现，发生
commodity,n.商品
common,adj.共同的，普通的
company,n.公司，同伴
conservative,adj.保守的，稳健的
constitution,n.宪法，章程
contrast,n.,v.对照，对比
control,v.,n.控制，管理
core,n.核，核心
corporate,n.有限公司
corruption,n.腐败，腐化
cost,n.成本，费用 v.花费
course,n.过程，路线，课程
court,n.法庭，宫廷，球场
create,v.创造，创作，造成
credit,n.信誉，信用 v.相信
crew,n.(飞机等的)全体人员
crisis,n.危险，危险期
cross,n.十字，交叉 v.横过
cruise,v.巡游，巡航
currency,n.通货，货币
current,adj.现令的 n.流
cut,v.割，切，削减，切断
damage,v.,n.损害，破坏
data,n.(复数)资料，数据
day,n.一天，白天
deal,v.处理，交易 n.买卖
death,n.死，死亡
debt,n.债，债务
decade,n.十年
decision,n.决定，决议
deep,adj.深的，深远的
defence,n.保卫，防御
demand,v.,n.要求，需求
democratic,adj.民主的
despite,prep.不管，任凭
different,adj.不同的，各种
disaster,n.自然灾害，祸患
discovery,n.发现，发现物
dollar,n.元，美元
during,prep.在...期间
each,adj.,adv.名，每个
early,adj.早的，初期的
east,adj.东方的 n.东方
economics,n.经济学
education,n.教育，训练
effective,adj.有效的
either,adj.二者之一 adv.也
election,n.选举
elsewhere,adv.在别处
encourage,v.鼓舞，鼓励，助长
energy,n.精力，活力，能量
engine,n.发动机，火车头
enough,adj.,adv.足够(的)
especially,adv.特别地，专门地
eventually,adv.最终，终于
ever,adv.曾经，总是，究竟
every,adj.每个，所有的
evidence,n.证据，迹象
example,n.例子，榜样
exchange,v.交换，兑换 n.交易
expensive,adj.昂贵的，高价的
explorer,n.勘探者，探险家
face,n.脸，正面 v.面对
fact,n.事实，真相
fall,v.落下，跌倒 n.瀑布
family,n.家庭，家属
fast,adj.快的 adv.快
federal,adj.联邦的
fell,v.砍到
few,adj.少的 n.少数
fight,v.打仗，战斗，作斗争
film,n.胶片，电影，薄膜
finance,n.金融 v.资助
financial,adj.金融的，财政的
find,v.寻找，找到，发现
firm,adj.坚固的 n.商号
five,num.五
focus,n.焦点，中心 v.集中
force,n.力，力量 v.强迫
forecast,n.,v.预测，预报
form,n.形状，类型，表格
former,adj.以前的，前者
found,v.创办，使有根据
four,num.四
free,adj.自由的，空闲的
fresh,adj.新鲜的，崭新的
front,n.正面，前线 v.面对
fuel,n.燃料
full,adj.满的，完全的
fund,n.基金，资金，蕴藏
further,adv.更远，进一步
future,n.将来，前途
gas,n.气体，煤气，汽油
general,adj.一般的，总的
get,v.获得，记住，到达
global,adj.全世界的，总的
go,v.去，进行，打算
gold,n.黄金，金币，金色
good,adj.好的，善良的
goods,n.货物，商品
great,adj.大的，伟大的
group,n.群，组，团体
grow,v.增长，成长，种植
half,n.一半 adv.一半
health,n.健康(状况)
heir,n.继承人
help,v.,n.帮助，有助于
hen,n.母鸡
hey,int.嗨
him,pron.他(宾格)
history,n.历史
hold,v.握住，容纳 n.控制
home,n.家，故乡 adv.回家
hope,v.,n.希望，愿望
